"id","movie_count","type"
"Patricia Tallman",1,"Actor"
"Patrick Cronin",1,"Actor"
"Paul Greengrass",6,"Director"
"Paul Sorvino",12,"Actor"
"Paul W.S. Anderson",9,"Director"
"Paul Walker",17,"Actor"
"Penelope Wilton",4,"Actor"
"Peter Boyle",7,"Actor"
"Peter Dante",2,"Actor"
"Peter Gerety",4,"Actor"
"Peter Marquardt",1,"Actor"
"Philip Seymour Hoffman",24,"Actor"
"Quentin Tarantino (Ac)",4,"Actor"
"Radha Mitchell",12,"Actor"
"Rae Dawn Chong",3,"Actor"
"Rafe Spall",5,"Actor"
"Rami Malek",5,"Actor"
"Ramon Rodriguez",5,"Actor"
"Randy Quaid",6,"Actor"
"Raven-SymonÌ©",2,"Actor"
"Ray Winstone",17,"Actor"
"Reggie Lee",2,"Actor"
"Rene Russo",8,"Actor"
"Richard Bull",2,"Actor"
"Richard E. Grant (Ac)",6,"Actor"
"Richard Schiff",7,"Actor"
"Rick Gonzalez",4,"Actor"
"Rick Hoffman",2,"Actor"
"Ricky Martin",1,"Actor"
"Ricky Schroder",5,"Actor"
"Ringo Starr",2,"Actor"
"Riz Ahmed",2,"Actor"
"Robert De Niro",52,"Actor"
"Robert Duvall (Ac)",21,"Actor"
"Robert Mitchum",2,"Actor"
"Robert Rodriguez",10,"Director"
"Robert Shaw",4,"Actor"
"Roberts Blossom",2,"Actor"
"Robin Williams",27,"Actor"
"Ron Howard",12,"Director"
"Ronald Reagan",1,"Actor"
"Ronny Cox",5,"Actor"
"Rosario Dawson",19,"Actor"
"Rosemarie DeWitt",4,"Actor"
"Roy Scheider",4,"Actor"
"Ruby Dee",4,"Actor"
"Ruth Wilson",2,"Actor"
"Ryan Gosling",16,"Actor"
"S. Epatha Merkerson",4,"Actor"
"Sally Hawkins",7,"Actor"
"Salma Hayek",19,"Actor"
"Sam Raimi",10,"Director"
"Sasha Roiz",2,"Actor"
"Scarlett Johansson",26,"Actor"
"Scott Glenn",17,"Actor"
"Scott Vance",1,"Actor"
"Sean Huze",1,"Actor"
"Sean Pertwee",6,"Actor"
"Seth Gabel",1,"Actor"
"Seth Meyers",1,"Actor"
"Seymour Cassel",6,"Actor"
"Shannon Elizabeth",6,"Actor"
"Shawn Roberts",3,"Actor"
"Shelley Duvall",4,"Actor"
"ShidÌ« Nakamura",1,"Actor"
"Sid Caesar",4,"Actor"
"Spencer Breslin",2,"Actor"
"Spencer Treat Clark",3,"Actor"
"Spike Lee",16,"Director"
"Stanley B. Herman",2,"Actor"
"Stephen Dillane",6,"Actor"
"Stephen Root",19,"Actor"
"Steve Buscemi (Ac)",32,"Actor"
"Steve Carell",19,"Actor"
"Steve Coogan",16,"Actor"
"Steve Earle",1,"Actor"
"Steve Harvey",2,"Actor"
"Steve Schirripa",1,"Actor"
"Steven Spielberg",23,"Director"
"Stevie Wonder",1,"Actor"
"Stockard Channing",10,"Actor"
"Stuart Wilson",3,"Actor"
"Susan Blommaert",2,"Actor"
"Sydney Penny",1,"Actor"
"Sylvester Stallone (Ac)",26,"Actor"
"T.J. Thyne",3,"Actor"
"Taylor Lautner",6,"Actor"
"Ted Raimi",3,"Actor"
"Tencho Gyalpo",1,"Actor"
"Tenzin Thuthob Tsarong",1,"Actor"
"Teri Garr",6,"Actor"
"Thomas Kretschmann",9,"Actor"
"Thomas Lennon",12,"Actor"
"Tim Burton",12,"Director"
"Tim Holmes",1,"Actor"
"Tim Meadows",5,"Actor"
"Tisha Campbell-Martin",3,"Actor"
"Toby Jones",11,"Actor"
"Tom Cruise",27,"Actor"
"Tom Guiry",2,"Actor"
"Tom Hanks (Ac)",26,"Actor"
"Tom Hardy",12,"Actor"
"Tom McCarthy (Ac)",3,"Actor"
"Tom Skerritt",10,"Actor"
"Tom Wilkinson",26,"Actor"
"Tony Curran",9,"Actor"
"Tony Scott",12,"Director"
"Tracy Camilla Johns",1,"Actor"
"Tracy Morgan",6,"Actor"
"Treat Williams",9,"Actor"
"Tucker Albrizzi",1,"Actor"
"Tulku Jamyang Kunga Tenzin",1,"Actor"
"Vanessa Lee Chester",2,"Actor"
"Viggo Mortensen",16,"Actor"
"Vin Diesel",17,"Actor"
"Vincent Schiavelli",5,"Actor"
"Warren Clarke",1,"Actor"
"Wayne Knight",7,"Actor"
"Wes Anderson",6,"Director"
"Will Ferrell",30,"Actor"
"Will Smith",18,"Actor"
"William Devane",3,"Actor"
"William Hootkins",8,"Actor"
"Woody Allen",21,"Director"
"Woody Allen (Ac)",10,"Actor"
"Yuki Matsuzaki",1,"Actor"
"Zachary Gordon",5,"Actor"
"ZoÌÇ Bell",3,"Actor"
